,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
29,2019-01-01,116.87534255552177,60.95912472720002,122.78590834692879,116.87534255552177,116.87534255552177,-21.937735568488016,-21.937735568488016,-21.937735568488016,-21.937735568488016,-21.937735568488016,-21.937735568488016,0.0,0.0,0.0,94.93760698703375
30,2019-02-01,117.66539275526546,67.58799003079393,130.78048571277276,117.66539275526546,117.66539275526546,-19.251138431359145,-19.251138431359145,-19.251138431359145,-19.251138431359145,-19.251138431359145,-19.251138431359145,0.0,0.0,0.0,98.4142543239063
31,2019-03-01,118.3789864840662,85.93883351002027,147.39577574261764,118.3789864840662,118.3789864840662,-2.296475594964728,-2.296475594964728,-2.296475594964728,-2.296475594964728,-2.296475594964728,-2.296475594964728,0.0,0.0,0.0,116.08251088910147
32,2019-04-01,119.17015560082527,97.13449652902513,160.77253382358697,119.17015560082527,119.17015560082527,10.180432044365102,10.180432044365102,10.180432044365102,10.180432044365102,10.180432044365102,10.180432044365102,0.0,0.0,0.0,129.35058764519036
33,2019-05-01,119.93580313317271,82.5392468914936,141.28402593329935,119.93580313317271,119.93580313317271,-6.925134785508567,-6.925134785508567,-6.925134785508567,-6.925134785508567,-6.925134785508567,-6.925134785508567,0.0,0.0,0.0,113.01066834766415
34,2019-06-01,120.72964943626674,76.02403773889574,137.13771349911605,120.72964943626674,120.72964943626674,-14.522929129102897,-14.522929129102897,-14.522929129102897,-14.522929129102897,-14.522929129102897,-14.522929129102897,0.0,0.0,0.0,106.20672030716385
35,2019-07-01,121.49788779409967,88.31960515654978,149.23538557201007,121.49788779409967,121.49788779409967,-3.289698599766218,-3.289698599766218,-3.289698599766218,-3.289698599766218,-3.289698599766218,-3.289698599766218,0.0,0.0,0.0,118.20818919433346
36,2019-08-01,122.29453689794441,103.02452781769368,162.79347385948807,122.29453689794441,122.29453689794441,10.009993635276704,10.009993635276704,10.009993635276704,10.009993635276704,10.009993635276704,10.009993635276704,0.0,0.0,0.0,132.3045305332211
37,2019-09-01,123.09118600178915,105.34399872285516,168.56376422988356,123.09118600178915,123.09118600178915,15.161772030675795,15.161772030675795,15.161772030675795,15.161772030675795,15.161772030675795,15.161772030675795,0.0,0.0,0.0,138.25295803246496
38,2019-10-01,123.8643588573774,110.13974526559942,171.29505189542724,123.8643588573774,123.8643588573774,17.481337177552,17.481337177552,17.481337177552,17.481337177552,17.481337177552,17.481337177552,0.0,0.0,0.0,141.3456960349294
39,2019-11-01,124.66330414148521,84.88519087184083,144.6965018632124,124.66330414148521,124.66330414148521,-8.973228153833407,-8.973228153833407,-8.973228153833407,-8.973228153833407,-8.973228153833407,-8.973228153833407,0.0,0.0,0.0,115.69007598765181
40,2019-12-01,125.43751641750231,83.84020609096777,140.68887552728916,125.43751641750231,125.43751641750231,-14.4742857893658,-14.4742857893658,-14.4742857893658,-14.4742857893658,-14.4742857893658,-14.4742857893658,0.0,0.0,0.0,110.96323062813651
